Episodes = 1831,alpha=0.0001,gamma=0.99,epsilon=1.0,epsilon_decay_rate=0.998,tau=0.125,batch=128,64relu/64relu/linear,Adam opt,Loss mse,,,,,,,,,,,,
episode_rewards,hundred_ep_reward_avgs,episode_lengths,,,,,,,,,,,,,,,,,,,
-31.42895013,275,,,,,,,,,,,,,,,,,,,,
-16.43396062,265,,,,,,,,,,,,,,,,,,,,
16.12929518,172,,,,,,,,,,,,,,,,,,,,
23.4260196,480,,,,,,,,,,,,,,,,,,,,
28.56002718,123,,,,,,,,,,,,,,,,,,,,
53.63238767,189,,,,,,,,,,,,,,,,,,,,
52.07391697,279,,,,,,,,,,,,,,,,,,,,
-30.57684202,278,,,,,,,,,,,,,,,,,,,,
12.09836955,434,,,,,,,,,,,,,,,,,,,,
-13.6593955,493,,,,,,,,,,,,,,,,,,,,
11.58772018,128,,,,,,,,,,,,,,,,,,,,
31.67048585,135,,,,,,,,,,,,,,,,,,,,
0.357204553,268,,,,,,,,,,,,,,,,,,,,
42.2490091,435,,,,,,,,,,,,,,,,,,,,
0.309963709,282,,,,,,,,,,,,,,,,,,,,
39.22739023,295,,,,,,,,,,,,,,,,,,,,
-15.2843147,232,,,,,,,,,,,,,,,,,,,,
-9.750928934,286,,,,,,,,,,,,,,,,,,,,
-30.34844884,392,,,,,,,,,,,,,,,,,,,,
-31.6608666,466,,,,,,,,,,,,,,,,,,,,
47.47932546,151,,,,,,,,,,,,,,,,,,,,
-23.91569886,343,,,,,,,,,,,,,,,,,,,,
-162.9938068,207,,,,,,,,,,,,,,,,,,,,
-81.40084028,147,,,,,,,,,,,,,,,,,,,,
20.57651681,367,,,,,,,,,,,,,,,,,,,,
21.29245754,347,,,,,,,,,,,,,,,,,,,,
67.0459014,348,,,,,,,,,,,,,,,,,,,,
62.94941112,369,,,,,,,,,,,,,,,,,,,,
27.90003736,172,,,,,,,,,,,,,,,,,,,,
-9.324763182,396,,,,,,,,,,,,,,,,,,,,
51.92021119,442,,,,,,,,,,,,,,,,,,,,
-20.10514556,329,,,,,,,,,,,,,,,,,,,,
-42.48437262,357,,,,,,,,,,,,,,,,,,,,
-59.83964544,366,,,,,,,,,,,,,,,,,,,,
26.10929471,377,,,,,,,,,,,,,,,,,,,,
24.87783879,295,,,,,,,,,,,,,,,,,,,,
-131.5711371,466,,,,,,,,,,,,,,,,,,,,
-7.091843464,389,,,,,,,,,,,,,,,,,,,,
179.2395318,450,,,,,,,,,,,,,,,,,,,,
22.1252785,409,,,,,,,,,,,,,,,,,,,,
-26.00158582,283,,,,,,,,,,,,,,,,,,,,
15.78444396,353,,,,,,,,,,,,,,,,,,,,
49.1799785,367,,,,,,,,,,,,,,,,,,,,
17.16923804,277,,,,,,,,,,,,,,,,,,,,
-6.718488413,385,,,,,,,,,,,,,,,,,,,,
57.09827095,317,,,,,,,,,,,,,,,,,,,,
13.26022563,449,,,,,,,,,,,,,,,,,,,,
-7.481084024,307,,,,,,,,,,,,,,,,,,,,
-20.97324473,342,,,,,,,,,,,,,,,,,,,,
15.05592335,426,,,,,,,,,,,,,,,,,,,,
2.561550218,298,,,,,,,,,,,,,,,,,,,,
8.83212677,418,,,,,,,,,,,,,,,,,,,,
-85.67519082,286,,,,,,,,,,,,,,,,,,,,
46.70057853,258,,,,,,,,,,,,,,,,,,,,
58.08257649,399,,,,,,,,,,,,,,,,,,,,
68.34021099,276,,,,,,,,,,,,,,,,,,,,
-4.438452203,341,,,,,,,,,,,,,,,,,,,,
-117.4951174,297,,,,,,,,,,,,,,,,,,,,
54.49894519,295,,,,,,,,,,,,,,,,,,,,
81.53155624,314,,,,,,,,,,,,,,,,,,,,
-10.69336605,301,,,,,,,,,,,,,,,,,,,,
-94.1075349,297,,,,,,,,,,,,,,,,,,,,
26.93518083,294,,,,,,,,,,,,,,,,,,,,
43.09453446,335,,,,,,,,,,,,,,,,,,,,
51.33150079,381,,,,,,,,,,,,,,,,,,,,
-172.609861,351,,,,,,,,,,,,,,,,,,,,
-107.2857618,261,,,,,,,,,,,,,,,,,,,,
67.31355636,210,,,,,,,,,,,,,,,,,,,,
11.7227353,259,,,,,,,,,,,,,,,,,,,,
55.56972154,244,,,,,,,,,,,,,,,,,,,,
23.71412215,380,,,,,,,,,,,,,,,,,,,,
-73.52112581,364,,,,,,,,,,,,,,,,,,,,
33.91798946,369,,,,,,,,,,,,,,,,,,,,
27.64601205,286,,,,,,,,,,,,,,,,,,,,
25.30420646,432,,,,,,,,,,,,,,,,,,,,
20.39185419,237,,,,,,,,,,,,,,,,,,,,
13.44906081,310,,,,,,,,,,,,,,,,,,,,
67.22456472,436,,,,,,,,,,,,,,,,,,,,
33.83324197,384,,,,,,,,,,,,,,,,,,,,
207.8552363,296,,,,,,,,,,,,,,,,,,,,
93.74455913,325,,,,,,,,,,,,,,,,,,,,
37.70368471,294,,,,,,,,,,,,,,,,,,,,
85.86264412,315,,,,,,,,,,,,,,,,,,,,
27.79558042,209,,,,,,,,,,,,,,,,,,,,
35.70948954,264,,,,,,,,,,,,,,,,,,,,
59.82725528,297,,,,,,,,,,,,,,,,,,,,
58.62905561,364,,,,,,,,,,,,,,,,,,,,
12.46740077,214,,,,,,,,,,,,,,,,,,,,
58.22123464,273,,,,,,,,,,,,,,,,,,,,
46.65988461,398,,,,,,,,,,,,,,,,,,,,
36.5482238,266,,,,,,,,,,,,,,,,,,,,
78.71223772,285,,,,,,,,,,,,,,,,,,,,
46.34527366,247,,,,,,,,,,,,,,,,,,,,
35.71007461,225,,,,,,,,,,,,,,,,,,,,
67.47896936,235,,,,,,,,,,,,,,,,,,,,
19.06007985,277,,,,,,,,,,,,,,,,,,,,
59.09515894,157,,,,,,,,,,,,,,,,,,,,
64.95465861,153,,,,,,,,,,,,,,,,,,,,
57.95469418,124,,,,,,,,,,,,,,,,,,,,
42.32671604,193,,,,,,,,,,,,,,,,,,,,
35.3916892,180,,,,,,,,,,,,,,,,,,,,
67.06700437,314,,,,,,,,,,,,,,,,,,,,
68.60089137,202,,,,,,,,,,,,,,,,,,,,
71.87937394,221,,,,,,,,,,,,,,,,,,,,
67.12137832,387,,,,,,,,,,,,,,,,,,,,
46.95962783,258,,,,,,,,,,,,,,,,,,,,
42.88040657,326,,,,,,,,,,,,,,,,,,,,
55.38973145,251,,,,,,,,,,,,,,,,,,,,
96.31661314,247,,,,,,,,,,,,,,,,,,,,
43.85454757,207,,,,,,,,,,,,,,,,,,,,
198.1266969,318,,,,,,,,,,,,,,,,,,,,
53.57697427,334,,,,,,,,,,,,,,,,,,,,
49.40441888,241,,,,,,,,,,,,,,,,,,,,
57.09587298,473,,,,,,,,,,,,,,,,,,,,
-119.87223,410,,,,,,,,,,,,,,,,,,,,
55.7036668,357,,,,,,,,,,,,,,,,,,,,
64.08990594,363,,,,,,,,,,,,,,,,,,,,
73.86091299,243,,,,,,,,,,,,,,,,,,,,
84.85549993,216,,,,,,,,,,,,,,,,,,,,
51.45110448,149,,,,,,,,,,,,,,,,,,,,
55.74640293,151,,,,,,,,,,,,,,,,,,,,
32.45451126,167,,,,,,,,,,,,,,,,,,,,
28.49139891,354,,,,,,,,,,,,,,,,,,,,
70.35221555,245,,,,,,,,,,,,,,,,,,,,
1.555823891,204,,,,,,,,,,,,,,,,,,,,
81.74517346,165,,,,,,,,,,,,,,,,,,,,
69.00730772,237,,,,,,,,,,,,,,,,,,,,
75.92046123,282,,,,,,,,,,,,,,,,,,,,
97.61589453,219,,,,,,,,,,,,,,,,,,,,
90.74033935,114,,,,,,,,,,,,,,,,,,,,
59.4786447,255,,,,,,,,,,,,,,,,,,,,
79.89059351,435,,,,,,,,,,,,,,,,,,,,
-128.6373173,273,,,,,,,,,,,,,,,,,,,,
77.75761977,264,,,,,,,,,,,,,,,,,,,,
54.32840886,242,,,,,,,,,,,,,,,,,,,,
66.54740974,268,,,,,,,,,,,,,,,,,,,,
89.58955833,325,,,,,,,,,,,,,,,,,,,,
73.03259546,323,,,,,,,,,,,,,,,,,,,,
45.57340358,305,,,,,,,,,,,,,,,,,,,,
60.1564311,254,,,,,,,,,,,,,,,,,,,,
74.23214852,252,,,,,,,,,,,,,,,,,,,,
90.08775375,267,,,,,,,,,,,,,,,,,,,,
89.13603962,275,,,,,,,,,,,,,,,,,,,,
80.44406641,235,,,,,,,,,,,,,,,,,,,,
67.30498516,252,,,,,,,,,,,,,,,,,,,,
50.83147328,206,,,,,,,,,,,,,,,,,,,,
39.3685789,313,,,,,,,,,,,,,,,,,,,,
103.8228165,278,,,,,,,,,,,,,,,,,,,,
61.63885279,269,,,,,,,,,,,,,,,,,,,,
34.88911154,304,,,,,,,,,,,,,,,,,,,,
91.71368465,291,,,,,,,,,,,,,,,,,,,,
15.02278398,203,,,,,,,,,,,,,,,,,,,,
155.8376963,305,,,,,,,,,,,,,,,,,,,,
90.30842184,222,,,,,,,,,,,,,,,,,,,,
66.26146837,327,,,,,,,,,,,,,,,,,,,,
137.2700796,293,,,,,,,,,,,,,,,,,,,,
17.20871236,314,,,,,,,,,,,,,,,,,,,,
105.4594608,290,,,,,,,,,,,,,,,,,,,,
101.9228421,206,,,,,,,,,,,,,,,,,,,,
19.58710188,280,,,,,,,,,,,,,,,,,,,,
12.57762965,366,,,,,,,,,,,,,,,,,,,,
111.8770049,296,,,,,,,,,,,,,,,,,,,,
1.616976038,243,,,,,,,,,,,,,,,,,,,,
10.43838094,339,,,,,,,,,,,,,,,,,,,,
17.60733822,341,,,,,,,,,,,,,,,,,,,,
2.226188656,343,,,,,,,,,,,,,,,,,,,,
79.26342922,376,,,,,,,,,,,,,,,,,,,,
55.61831403,327,,,,,,,,,,,,,,,,,,,,
27.40467742,417,,,,,,,,,,,,,,,,,,,,
44.0812731,317,,,,,,,,,,,,,,,,,,,,
23.18453011,330,,,,,,,,,,,,,,,,,,,,
26.93355709,311,,,,,,,,,,,,,,,,,,,,
24.1078179,204,,,,,,,,,,,,,,,,,,,,
36.33334581,330,,,,,,,,,,,,,,,,,,,,
61.55798638,222,,,,,,,,,,,,,,,,,,,,
